nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
024884363;Smart EverGreen;24999;3.002,52;1/11/2024;Uscita definitiva;PR;4,258333333;2.020;di cui Ibridi;Smart EverGreen;4;2.024
024488628;Reinvesto Valore;11599;32.257,22;1/1/2024;Riscatto reworkato;PU;5,025;2.018;di cui Ibridi;Valore Alleanza;6;2.024
024485116;Reinvesto Valore;37527;31.180,70;1/6/2024;Riscatto reworkato;PU;5,441666667;2.018;di cui Ibridi;Valore Alleanza;6;2.024
025053185;Smart EverGreen;22499;1.574,31;1/7/2024;Uscita definitiva;PR;3,3;2.021;di cui Ibridi;Smart EverGreen;3;2.024
024755309;Valore Futuro Piu;05002;10.388,93;1/10/2024;Uscita definitiva;PU;4,777777778;2.019;di cui Ibridi;Valore Futuro Piu;5;2.024
025269734;Valore Futuro Piu;26599;5.004,61;1/7/2024;Uscita definitiva;PU;2,558333333;2.021;di cui Ibridi;Valore Futuro Piu;3;2.024
024209140;Extra di Alleanza;37521;3.489,91;1/10/2024;Uscita definitiva;PR;6,769444444;2.017;di cui Ibridi;Extra;7;2.024
024427641;D'ORO 2015;29899;5.964,06;1/2/2024;Uscita definitiva;PR;5,336111111;2.018;di cui altro;D'ORO;6;2.024
024125133;AllORO 2016;04600;14.802,52;1/8/2024;Uscita definitiva;PU;6,844444444;2.017;di cui altro;AllORO;7;2.024
023884151;Extra di Alleanza;30399;21.127,56;1/12/2024;Uscita definitiva;PR;7,994444444;2.016;di cui Ibridi;Extra;8;2.024
024406385;Extra di Alleanza;04600;5.432,35;1/8/2024;Uscita definitiva;PR;5,913888889;2.018;di cui Ibridi;Extra;6;2.024
025493778;Smart EverGreen 2022;07200;2.505,01;1/6/2024;Uscita definitiva;PR;1,530555556;2.022;di cui Ibridi;Smart EverGreen;2;2.024
022840090;REINVESTO Plus;14999;26.056,05;1/11/2024;Uscita definitiva;PU;11,26111111;2.013;di cui altro;Reinvesto;ott-15;2.024
021328595;D'ORO 2006;28199;31.473,58;1/5/2024;Uscita definitiva;PR;16,275;2.008;di cui altro;D'ORO;15-20+;2.024
024438255;Valore Futuro 2015;37547;22.891,26;1/6/2024;Riscatto reworkato;PU;5,597222222;2.018;di cui Ibridi;Valore Futuro;6;2.024
024190299;Extra di Alleanza;30099;5.032,12;1/5/2024;Uscita definitiva;PR;6,416666667;2.017;di cui Ibridi;Extra;7;2.024
025492178;Valore Euro San Giorgio;37545;70.000,00;1/2/2024;Uscita definitiva;PU;1,205555556;2.022;di cui altro;Valore Euro San Giorgio;2;2.024
024797282;Valore Futuro Piu;04499;4.318,05;1/11/2024;Uscita definitiva;PU;4,683333333;2.020;di cui Ibridi;Valore Futuro Piu;4;2.024
023446229;D'ORO 2014;02999;10.733,69;1/1/2024;Uscita definitiva;PR;8,444444444;2.015;di cui altro;D'ORO;9;2.024
023719542;D'ORO 2015;34299;9.812,77;1/6/2024;Uscita definitiva;PR;8,066666667;2.016;di cui altro;D'ORO;8;2.024
025645961;Valore 125;00299;5.760,00;1/7/2024;Uscita definitiva;PU;1,069444444;2.023;di cui altro;VALORE 125;1;2.024
024717333;Valore Alleanza;31599;7.494,73;1/2/2024;Uscita definitiva;PU;4,247222222;2.019;di cui Ibridi;Valore Alleanza;5;2.024
024860690;Extra POP;03000;4.102,19;1/12/2024;Uscita definitiva;PR;4,436111111;2.020;di cui Ibridi;Extra;4;2.024
021920254;D'ORO 2010;03000;16.713,31;1/4/2024;Uscita definitiva;PR;13,93611111;2.010;di cui altro;D'ORO;ott-15;2.024
024421341;Valore Futuro 2015;27499;21.833,09;1/3/2024;Riscatto reworkato;PU;5,422222222;2.018;di cui Ibridi;Valore Futuro;6;2.024
024564572;Extra di Alleanza;37499;6.144,47;1/9/2024;Uscita definitiva;PR;5,419444444;2.019;di cui Ibridi;Extra;5;2.024
022988146;D'ORO 2012;11099;718,48;1/11/2024;Uscita definitiva;PR;10,73888889;2.014;di cui altro;D'ORO;ott-15;2.024
024622084;Valore Futuro Piu;06000;18.276,50;1/5/2024;Uscita definitiva;PU;4,861111111;2.019;di cui Ibridi;Valore Futuro Piu;5;2.024
024562821;AllORO 2016;39902;15.250,89;1/6/2024;Uscita definitiva;PU;5,169444444;2.019;di cui altro;AllORO;5;2.024
022131251;D'ORO 2010;21099;47.620,89;1/4/2024;Uscita definitiva;PR;13,16388889;2.011;di cui altro;D'ORO;ott-15;2.024
025214965;Valore EverGreen;21099;135,61;1/11/2024;Uscita definitiva;PU;3,080555556;2.021;di cui Ibridi;Valore EverGreen;3;2.024
024604824;Extra di Alleanza;16899;2.315,56;1/8/2024;Uscita definitiva;PR;5,175;2.019;di cui Ibridi;Extra;5;2.024
025514168;Valore EverGreen;22399;29.810,16;1/1/2024;Uscita definitiva;PU;1,041666667;2.022;di cui Ibridi;Valore EverGreen;2;2.024
023173502;AllORO 2013;36899;5.895,55;1/9/2024;Uscita definitiva;PU;9,919444444;2.014;di cui altro;AllORO;ott-15;2.024
023775189;Extra di Alleanza;31299;10.258,08;1/10/2024;Uscita definitiva;PR;8,233333333;2.016;di cui Ibridi;Extra;8;2.024
024018370;Extra di Alleanza;08899;15.871,49;1/7/2024;Uscita definitiva;PR;7,158333333;2.017;di cui Ibridi;Extra;7;2.024
020686220;AllORO;01902;51.760,57;1/9/2024;Riscatto reworkato;PU;19,51944444;2.005;di cui altro;AllORO;15-20+;2.024
023966384;Extra di Alleanza;06000;3.180,57;1/9/2024;Uscita definitiva;PR;7,488888889;2.017;di cui Ibridi;Extra;7;2.024
